Model,CV Mean,CV Std,Train Accuracy
Random Forest,0.7446,0.0657,1.0000
Logistic Regression,0.7360,0.0476,1.0000
K-Nearest Neighbors,0.7295,0.0826,1.0000
SVM (RBF),0.7215,0.0485,1.0000
Gradient Boosting,0.7212,0.0355,1.0000
Neural Network (MLP),0.7138,0.0882,0.7752
